Sample,cellcounts
NS0.2FL.0.1,242120000
NS0.2FL.0.2,226400000
NS0.2FL.0.3,193280000
NS0.2FL.12.1,77010000
NS0.2FL.12.2,70170000
NS0.2FL.12.3,73490000
NS0.2FL.24.1,41683333.33
NS0.2FL.24.2,89760000
NS0.2FL.24.3,85903333.33
NS0.2FL.36.1,58880000
NS0.2FL.36.2,47100000
NS0.2FL.36.3,54860000
NS0.2FL.48.1,58880000
NS0.2FL.48.2,47100000
NS0.2FL.48.3,54860000
NS0.2FL.60.1,57490000
NS0.2FL.60.2,52820000
NS0.2FL.60.3,51030000
NS0.2FL.72.1,57490000
NS0.2FL.72.2,52820000
NS0.2FL.72.3,51030000
NS0.Con.0.1,216620000
NS0.Con.0.2,175590000
NS0.Con.0.3,216770000
NS0.Con.12.1,68540000
NS0.Con.12.2,68590000
NS0.Con.12.3,67120000
NS0.Con.24.1,123780000
NS0.Con.24.2,100670000
NS0.Con.24.3,137320000
NS0.Con.36.1,54920000
NS0.Con.36.2,68270000
NS0.Con.36.3,53800000
NS0.Con.48.1,54920000
NS0.Con.48.2,68270000
NS0.Con.48.3,53800000
NS0.Con.60.1,49360000
NS0.Con.60.2,55930000
NS0.Con.60.3,55410000
NS0.Con.72.1,49360000
NS0.Con.72.2,55930000
NS0.Con.72.3,55410000
NS0.pHMO.0.1,216960000
NS0.pHMO.0.2,225870000
NS0.pHMO.0.3,206710000
NS0.pHMO.12.1,174650000
NS0.pHMO.12.2,169000000
NS0.pHMO.12.3,160870000
NS0.pHMO.24.1,282276666.7
NS0.pHMO.24.2,168170000
NS0.pHMO.24.3,201846666.7
NS0.pHMO.36.1,76930000
NS0.pHMO.36.2,73300000
NS0.pHMO.36.3,78090000
NS0.pHMO.48.1,76930000
NS0.pHMO.48.2,73300000
NS0.pHMO.48.3,78090000
NS0.pHMO.60.1,59640000
NS0.pHMO.60.2,55430000
NS0.pHMO.60.3,66490000
NS0.pHMO.72.1,59640000
NS0.pHMO.72.2,55430000
NS0.pHMO.72.3,66490000
NS1.2FL.0.1,98170000
NS1.2FL.0.2,217610000
NS1.2FL.0.3,208150000
NS1.2FL.12.1,226100000
NS1.2FL.12.2,175900000
NS1.2FL.12.3,189090000
NS1.2FL.24.1,198670000
NS1.2FL.24.2,204870000
NS1.2FL.24.3,254370000
NS1.2FL.36.1,213040000
NS1.2FL.36.2,195350000
NS1.2FL.36.3,195910000
NS1.2FL.48.1,164150000
NS1.2FL.48.2,163990000
NS1.2FL.48.3,181960000
NS1.2FL.60.1,289490000
NS1.2FL.60.2,226320000
NS1.2FL.60.3,257160000
NS1.2FL.72.1,182900000
NS1.2FL.72.2,202630000
NS1.2FL.72.3,207290000
NS1.Con.0.1,158320000
NS1.Con.0.2,160310000
NS1.Con.0.3,181430000
NS1.Con.12.1,170910000
NS1.Con.12.2,160110000
NS1.Con.12.3,194720000
NS1.Con.24.1,196260000
NS1.Con.24.2,201130000
NS1.Con.24.3,178960000
NS1.Con.36.1,199580000
NS1.Con.36.2,178720000
NS1.Con.36.3,170910000
NS1.Con.48.1,359270000
NS1.Con.48.2,265960000
NS1.Con.48.3,172650000
NS1.Con.60.1,227080000
NS1.Con.60.2,298430000
NS1.Con.60.3,210750000
NS1.Con.72.1,195060000
NS1.Con.72.2,232390000
NS1.Con.72.3,221590000
NS1.pHMO.0.1,213020000
NS1.pHMO.0.2,201690000
NS1.pHMO.0.3,188910000
NS1.pHMO.12.1,227690000
NS1.pHMO.12.2,219800000
NS1.pHMO.12.3,189050000
NS1.pHMO.24.1,398720000
NS1.pHMO.24.2,291410000
NS1.pHMO.24.3,506030000
NS1.pHMO.36.1,195190000
NS1.pHMO.36.2,184030000
NS1.pHMO.36.3,207540000
NS1.pHMO.48.1,148680000
NS1.pHMO.48.2,196710000
NS1.pHMO.48.3,178890000
NS1.pHMO.60.1,218340000
NS1.pHMO.60.2,276600000
NS1.pHMO.60.3,235580000
NS1.pHMO.72.1,210940000
NS1.pHMO.72.2,243830000
NS1.pHMO.72.3,227385000
NS4.2FL.0.1,219940000
NS4.2FL.0.2,219940000
NS4.2FL.0.3,219940000
NS4.2FL.12.1,213590000
NS4.2FL.12.2,207990000
NS4.2FL.12.3,263770000
NS4.2FL.24.1,69600000
NS4.2FL.24.2,69600000
NS4.2FL.24.3,69600000
NS4.2FL.36.1,142370000
NS4.2FL.36.2,142370000
NS4.2FL.36.3,142370000
NS4.2FL.48.1,120090000
NS4.2FL.48.2,120090000
NS4.2FL.48.3,120090000
NS4.2FL.60.1,117280000
NS4.2FL.60.2,117280000
NS4.2FL.60.3,117280000
NS4.2FL.72.1,158020000
NS4.2FL.72.2,175200000
NS4.2FL.72.3,154060000
NS4.Con.0.1,219940000
NS4.Con.0.2,219940000
NS4.Con.0.3,219940000
NS4.Con.12.1,246030000
NS4.Con.12.2,225860000
NS4.Con.12.3,221850000
NS4.Con.24.1,56880000
NS4.Con.24.2,56880000
NS4.Con.24.3,56880000
NS4.Con.36.1,124500000
NS4.Con.36.2,124500000
NS4.Con.36.3,124500000
NS4.Con.48.1,117680000
NS4.Con.48.2,117680000
NS4.Con.48.3,117680000
NS4.Con.60.1,98260000
NS4.Con.60.2,98260000
NS4.Con.60.3,98260000
NS4.Con.72.1,102470000
NS4.Con.72.2,144470000
NS4.Con.72.3,112800000
NS4.pHMO.0.1,219940000
NS4.pHMO.0.2,219940000
NS4.pHMO.0.3,219940000
NS4.pHMO.12.1,391140000
NS4.pHMO.12.2,416330000
NS4.pHMO.12.3,435640000
NS4.pHMO.24.1,208750000
NS4.pHMO.24.2,208750000
NS4.pHMO.24.3,208750000
NS4.pHMO.36.1,364840000
NS4.pHMO.36.2,364840000
NS4.pHMO.36.3,364840000
NS4.pHMO.48.1,413660000
NS4.pHMO.48.2,413660000
NS4.pHMO.48.3,413660000
NS4.pHMO.60.1,356420000
NS4.pHMO.60.2,356420000
NS4.pHMO.60.3,356420000
NS4.pHMO.72.1,417030000
NS4.pHMO.72.2,427790000
NS4.pHMO.72.3,387480000
NS6.2FL.0.1,145430000
NS6.2FL.0.2,145430000
