Sample,Community,Treatment,Time,2'FL,3FL,3'SL,DFLac,6'SL,LNT,LNnT,LNFP I,LNFP II,LNFP III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
NS0.pHMOs.0h,Child_7,pHMOs,0,200.5554739,41.14261358,43.33938883,5.814265445,4.760105055,249.8472783,19.64827922,116.9786953,161.8196093,0.810764211,7.408995373,19.05519429,100.3655096,13.34679866,28.72370725,47.14787222,22.05409054,33.36068893,17.02895703,1133.208287,232.79039,858.2834486
NS0.pHMOs.3h,Child_7,pHMOs,3,6.573882552,59.50372236,55.57983797,3.339448261,6.962928935,117.3095206,11.68848293,60.38587624,70.22082278,27.05246107,11.75742131,2.127745328,90.60535305,11.66650359,1.867851233,28.22819005,8.640268426,11.13424694,0.990296297,585.63486,104.4127225,468.2693415
NS0.pHMOs.6h,Child_7,pHMOs,6,0.504103539,43.64467094,56.59257079,1.97508412,4.464146646,48.37176807,6.307960272,21.18875245,23.60574707,16.7292343,2.526437574,0.874375782,64.79773096,7.059451748,1.302628415,14.9239163,3.601837405,4.10139557,2.342600214,324.9144122,79.95077919,265.4471252
NS0.pHMOs.12h,Child_7,pHMOs,12,0.519252958,20.30897044,22.4924247,2.633421146,4.509820664,10.0701754,1.878756244,8.744265091,8.714810178,5.570042723,0.192418283,0.431738771,44.02610894,3.77565923,1.82516749,8.580839785,0.704207235,1.453045135,1.340436073,147.7715605,36.86369981,148.6187009
NS0.pHMOs.24h,Child_7,pHMOs,24,2.958862468,10.11091099,6.456939322,3.102931278,3.579520744,4.303834342,0.945121405,3.887077144,3.777151378,1.079043359,0.425938696,0.330664765,19.92252912,0.8052915,1.206253661,3.703430259,0.632822772,0.436427655,0.981489918,68.64624077,16.04140599,73.26946959
NS0.pHMOs.36h,Child_7,pHMOs,36,0.729128943,9.416652102,1.093123521,3.546995236,3.969834384,1.135341171,0.471299359,0.636164491,0.718193269,0.086650288,0.324705585,0.950781404,1.37066344,0.944537944,0.205975534,0.41820918,0.249627363,0.242332033,0.201574869,26.71179011,7.638209764,22.58190238
NS1.pHMOs.0h,Child_1,pHMOs,0,376.4955951,76.86443927,70.06973275,13.57131477,5.302394618,436.7712897,66.56188582,218.0271189,303.5647328,2.357614149,14.74374802,40.59014156,190.0023938,26.50045349,56.2883308,91.42888604,38.19406319,60.26565183,34.04295078,2121.642737,431.8998838,1612.539582
NS1.pHMOs.3h,Child_1,pHMOs,3,4.233594766,80.34799688,50.94697573,3.651167501,7.665931727,403.4834736,15.9265367,93.41187668,162.1555755,31.38198268,37.08984045,16.45105803,143.2271064,6.972362205,6.823483265,62.74394383,27.12448379,31.31289872,21.41304934,1206.363338,231.2526686,813.5933845
NS1.pHMOs.6h,Child_1,pHMOs,6,0.431150928,74.74641039,44.5092931,4.687389928,7.737202454,284.0437968,37.55578262,41.52335675,103.8051874,35.99291317,26.43335831,8.765079503,116.2876537,21.81826263,9.127701914,54.80386674,15.21295179,16.44474628,10.82159177,914.7476962,160.2330133,600.1236225
NS1.pHMOs.12h,Child_1,pHMOs,12,1.550337121,54.71355396,28.19874281,2.880085889,5.88294418,136.3137045,23.28546071,13.36004218,56.92124241,25.39413867,10.38829226,2.624819726,75.62085925,14.29156347,3.41014944,19.2234971,6.336655639,6.981403319,4.161577045,491.5390697,76.20105858,347.8194163
NS1.pHMOs.24h,Child_1,pHMOs,24,2.136146979,33.25849327,8.116070876,2.537250931,4.560230031,17.16837835,38.51982047,5.135800384,36.95570518,27.19386723,0.581444145,0.505804158,52.01278219,3.583137303,2.365770407,6.123223908,1.76784837,3.06802717,2.009285715,247.5990871,28.64971579,226.5070271
NS1.pHMOs.36h,Child_1,pHMOs,36,2.941380575,21.59193635,1.689392952,3.666960582,4.869501981,7.999009696,5.675149841,2.709672986,16.5273888,4.760937512,0.737668484,1.087049776,29.74942366,1.429724927,2.347194668,1.06845866,0.702230331,1.116816553,1.441935122,112.1118335,18.19550588,118.9538206
S2.pHMOs.0h,Child_2,pHMOs,0,320.1750556,72.59040237,71.91535195,8.016883486,5.046231938,407.3872727,54.3830194,200.839985,278.3606013,2.315126718,16.288864,36.70662112,178.7445348,29.38251227,51.44803941,83.49417338,40.29511026,59.84960181,34.60532423,1951.844712,421.7629999,1471.738003
