NMR_file,2-Piperidinone,3-Phenylpropionate,4-Hydroxyphenylacetate,4-Aminobenzoate,5-Aminopentanoate,Acetate,Alanine,Benzoate,Butyrate,Desaminotyrosine,Dimethylamine,Ethanol,Formate,Fumarate,Glutamate,Glycine,Glycolate,Histidine,Hypoxanthine,Indole,Isobutyrate,Isoleucine,Isovalerate,Aspartate,Lactate,Leucine,Malonate,Methanol,Methionine,Methylamine,Nicotinate,Phenylacetate,Phenylalanine,Propionate,Propanol,Pyroglutamate,Succinate,Tartrate,Threonine,Thymine,Trimethylamine,Tyrosine,Uracil,Valerate,Valine,p-Cresol,Beta-Alanine
20210125_ex1_p1.cnx,0.1991,0,0.0028,0,0.8356,58.0025,0.0682,0.0089,5.4876,0.0054,0.0046,9.7216,0.0094,0.003,0.1192,0.0405,0.2139,0,0.0324,0,0.5873,0.0544,0.6095,0.0376,0,0.1557,0.0074,1.2053,0.0119,0.0648,0.0063,0.1421,0.0412,25.1068,1.7854,0,0.0106,0.0278,0,0.0127,0.3871,0.0128,0.1063,0.3116,0.1258,0,0
20210125_ex2_p1.cnx,0.2072,0,0.0029,0,0.8569,58.7684,0.0688,0.0086,5.5826,0.005,0.0045,10.0631,0.0058,0.0038,0.1142,0.0367,0.2195,0,0.0315,0,0.5972,0.0494,0.6176,0.0348,0,0.1558,0.0058,1.2449,0.0082,0.065,0.0088,0.1384,0.0384,25.4308,1.8655,0,0.0088,0.0292,0,0.0102,0.376,0.0128,0.1067,0.3062,0.1249,0,0
20210125_ex3_p1.cnx,0.2147,0,0,0,0.9371,60.0799,0.0715,0.0073,5.6703,0.0038,0.0053,9.6077,0.0102,0.0036,0.1125,0.0355,0.2126,0,0.0364,0,0.615,0.0641,0.6019,0.0361,0,0.2212,0.0079,1.205,0.0102,0.0645,0.0094,0.1215,0.042,26.0848,1.7132,0,0.0117,0.028,0,0.0151,0.3993,0.0132,0.1152,0.3465,0.1336,0,0
20210125_ex4_p1.cnx,0.2109,0,0.0028,0,0.87,56.3114,0.0804,0.0096,5.5359,0.0055,0.0061,10.3867,0.0107,0.0042,0.1255,0,0.2199,0,0.0336,0,0.5609,0.0469,0.6347,0.0356,0,0.1676,0.0085,1.2458,0.0104,0.0648,0.0084,0.136,0.0381,26.7848,1.822,0,0.0121,0.0281,0,0.0139,0.3556,0.0129,0.1138,0.3301,0.1275,0,0
20210125_ex6_p1.cnx,0.2191,0,0.0026,0,0.8972,59.2454,0.0749,0.0123,5.6821,0.0039,0.0043,10.1222,0.0103,0.0037,0.1003,0,0.217,0,0.0364,0,0.6129,0.052,0.617,0.0345,0,0.1945,0.0063,1.2383,0.0119,0.0647,0.0087,0.1338,0.0418,26.7035,1.8028,0,0.0119,0.0279,0,0.016,0.3778,0.0143,0.1175,0.3026,0.1386,0,0
20210125_ex7_p1.cnx,0.2226,0,0.0039,0,0.9405,58.4066,0.0989,0.008,5.6006,0.0039,0.0025,10.8674,0.0169,0.0043,0.1132,0,0.1801,0,0.0348,0,0.573,0.0628,0.5049,0.0374,0,0.1679,0.015,1.2423,0.0111,0.0652,0.0083,0.1332,0.0425,25.8896,1.5704,0,0.0138,0.0226,0,0.0126,0.4351,0.0195,0.107,0.3546,0.1506,0,0
20210125_ex8_p1.cnx,0.2464,0,0.0038,0,1.0284,63.2831,0.1066,0.0099,6.1013,0.0044,0.0048,11.3966,0.0178,0.0042,0.1126,0,0.1942,0,0.0467,0,0.642,0.063,0.5415,0.0321,0,0.1694,0.0178,1.2699,0.0109,0.0736,0.0076,0.1611,0.0429,28.0694,1.914,0,0.018,0.02,0,0.008,0.5032,0.0229,0.1145,0.3452,0.15,0,0
20210125_ex9_p1.cnx,0.238,0,0.0051,0,0.9665,63.1174,0.1218,0.0106,6.1753,0.0088,0.0042,11.3175,0.0232,0.0036,0.1205,0,0.2026,0,0.0437,0,0.6384,0.0637,0.6823,0.0425,0,0.1693,0.0172,1.279,0.0096,0.0717,0.0062,0.1307,0.0424,27.4099,2.0966,0,0.0196,0.0253,0,0.013,0.5019,0.0237,0.1428,0.3212,0.1584,0,0
20210125_ex1005_p1.cnx,0.2283,0.0305,0,0,0.8823,63.1106,0.1168,0.009,6.0193,0.0019,0.0056,10.9386,0.0111,0.0055,0.1197,0.0519,0.2417,0,0.0328,0,0.6242,0.0578,0.6656,0.0664,0,0.1865,0.0041,1.3423,0.0176,0.0692,0.0081,0.1361,0.0484,27.4748,2.0178,0,0.0151,0.0302,0.0269,0.0091,0.4091,0.0221,0.098,0.3766,0.135,0,0
SR_2020-10-05_ex160_p1.cnx,0.0065,0.2007,0.0035,0.0623,0.1012,54.856,0.0696,0.0092,6.7642,0.0124,0,13.849,0.0064,0.0051,0.2082,0.0419,0.2387,0,0.0239,0,1.1359,0.0171,0.7568,0.0311,0,0.0754,0.0102,1.3007,0.0106,0.0749,0.0158,0.037,0.0112,26.0777,1.1731,0.0568,0.1685,0.0421,0.0084,0,0.4892,0.0069,0.0655,2.1186,0.0148,0,0.0044
SR_2020-10-05_ex170_p1.cnx,0.0043,0.2163,0.0023,0.061,0.0975,53.1558,0.0686,0.0092,6.5907,0.013,0,13.3264,0.0055,0.0049,0.2038,0.0349,0.2283,0,0.0226,0,1.1226,0,0.6957,0.0316,0,0.0848,0.0103,1.2713,0.0098,0.0703,0.0133,0.0333,0.0115,25.235,1.1032,0.0767,0.1485,0.0328,0,0,0.4529,0.0054,0.0592,2.1041,0.0145,0,0.0035
SR_2020-10-05_ex180_p1.cnx,0.0039,0.2068,0.0022,0.0603,0.0855,53.8862,0.0716,0.0108,6.6474,0.013,0,13.4974,0.0081,0.0049,0.1494,0.0377,0.2327,0,0.0241,0,1.1813,0,0.717,0.0316,0,0.0842,0.0105,1.2881,0.0093,0.0721,0.0146,0.0353,0.0092,25.584,1.1368,0.0445,0.1603,0.0407,0.0078,0,0.4735,0.0074,0.0691,2.0633,0.0135,0,0.0034
SR_2020-10-05_ex190_p1.cnx,0.0057,0.2056,0.0028,0.0643,0.0857,58.256,0.0758,0.0106,7.146,0.012,0,13.8101,0.01,0.0048,0.1494,0.0394,0.2417,0,0.0266,0.0054,1.2699,0,0.739,0.0354,0,0.1108,0.0078,1.3256,0.0107,0.0741,0.019,0.0407,0.0116,27.6696,1.1913,0.0407,0.1869,0.0434,0,0,0.5151,0.006,0.0733,2.138,0.0188,0,0.0039
SR_2020-10-05_ex200_p1.cnx,0,0.2139,0.0031,0.0622,0.0871,57.3515,0.0761,0.0098,7.0819,0.0144,0,13.8173,0.0115,0.0055,0.1441,0.0384,0.244,0,0.0284,0.0055,1.2875,0,0.7441,0.0381,0,0.0941,0.0102,1.3365,0.01,0.0745,0.0152,0.0412,0.0097,27.3741,1.1965,0.0594,0.18,0.0427,0.0109,0,0.4961,0.0055,0.0701,2.1725,0.017,0,0.0039
SR_2020-10-05_ex210_p1.cnx,0,0.2155,0.0024,0.0621,0.0919,54.7019,0.0686,0.009,6.8236,0.0132,0,13.4589,0.0131,0.0049,0.2208,0.0338,0.2384,0,0.0261,0,1.1832,0,0.7216,0.0337,0,0.0994,0.0103,1.2967,0.0102,0.0712,0.0166,0.0348,0.0111,25.5288,1.1295,0.0607,0.156,0.0383,0.0122,0,0.4774,0.0082,0.0783,2.0146,0.0163,0,0
SR_2020-10-05_ex220_p1.cnx,0,0.201,0.0023,0.0656,0.1205,63.0718,0.0885,0.0087,7.6339,0.0141,0,14.6885,0.0093,0.0058,0.3058,0.0403,0.2674,0,0.0277,0,1.2811,0,0.8484,0.0405,0,0.1089,0.0276,1.3564,0.0177,0.0808,0.0171,0.0571,0.0099,29.4356,1.2815,0.0946,0.4213,0.0316,0.0112,0,0.6093,0.0108,0.0647,2.2788,0.0282,0,0
SR_2020-10-05_ex230_p1.cnx,0,0.2055,0.0036,0.0639,0.126,57.2286,0.0951,0.013,7.0839,0.0138,0,14.8335,0.0112,0.0053,0.2966,0.0314,0.2589,0,0.0292,0,1.147,0,0.8684,0.043,0,0.1172,0.0351,1.3647,0.0199,0.0762,0.0144,0.0548,0.0094,26.3224,1.2215,0.0898,0.2742,0.0308,0.0122,0,0.5548,0.014,0.0779,1.9866,0.0353,0,0
SR_2020-10-05_ex240_p1.cnx,0,0.2206,0.0023,0.0673,0.1297,59.2303,0.0759,0.0083,7.1559,0.0135,0,14.7752,0.0133,0.0052,0.2965,0.0281,0.2531,0,0.027,0.0065,1.2248,0,0.8725,0.0345,0,0.1023,0.0321,1.3533,0.0144,0.0756,0.0155,0.0498,0.0138,27.8202,1.2505,0.0981,0.3089,0.0303,0.0184,0,0.5736,0.0137,0.0731,2.1575,0.0378,0,0
SR_20201202_ex7_p1.cnx,0,0.0135,0.0032,0.0287,0.0761,55.7466,0.1487,0.0983,7.9226,0.0041,0,9.4715,0.0667,0.0038,0.2023,0.0352,0.196,0,0.0267,0,0.8633,0.0094,0.5591,0.0348,0,0.0938,0.0214,0.2765,0.0096,0.053,0.0142,0.105,0.0058,16.8513,1.5762,0.0278,0.0208,0,0,0,0.334,0.0014,0.0837,2.8323,0.0161,0,0.0092
SR_20201202_ex8_p1.cnx,0,0,0.0023,0.0292,0.0706,60.5632,0.1358,0.0983,8.293,0.0012,0,9.1665,0.0062,0.005,0.1789,0.0269,0.1944,0,0.0286,0,0.8737,0.0104,0.5384,0.0385,0,0.0852,0.0195,0.2734,0.0059,0.0546,0.0132,0.1037,0.0093,18.4258,1.5714,0.0321,0.0117,0,0,0.0099,0.3517,0.0082,0.0712,2.722,0.0127,0,0.0082
SR_20201202_ex9_p1.cnx,0,0,0.004,0.0305,0.0846,60.7167,0.1399,0.0971,8.3001,0.0039,0,8.9686,0.0081,0.0051,0.1452,0.0218,0.188,0,0.0263,0,0.8858,0.0108,0.5529,0.0335,0,0.0846,0.0175,0.2676,0.0105,0.0514,0.012,0.111,0.0081,18.3104,1.5183,0.0337,0.0124,0,0,0.0103,0.3503,0.0067,0.0687,2.6963,0.0169,0,0.0062
