Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS0.2FL.0.1,Child_7,Nonconverter,2FL,0,1,SR_2020-10-05_ex190_p1.cnx,,,,,,,,,
NS0.2FL.0.2,Child_7,Nonconverter,2FL,0,2,SR_2020-10-05_ex200_p1.cnx,,,,,,,,,
NS0.2FL.0.3,Child_7,Nonconverter,2FL,0,3,SR_2020-10-05_ex210_p1.cnx,,,,,,,,,
NS0.2FL.12.1,Child_7,Nonconverter,2FL,12,1,SR_2020-10-06-A_ex81_p1.cnx,,,,,,,,,
NS0.2FL.12.2,Child_7,Nonconverter,2FL,12,2,SR_2020-10-06-A_ex92_p1.cnx,,,,,,,,,
NS0.2FL.12.3,Child_7,Nonconverter,2FL,12,3,SR_2020-10-06-B-64_ex10_p1.cnx,,,,,,,,,
NS0.2FL.24.1,Child_7,Nonconverter,2FL,24,1,SR_2020-10-06-B-64_ex80_p1.cnx,,,,,,,,,
NS0.2FL.24.2,Child_7,Nonconverter,2FL,24,2,SR_2020-10-06-B-64_ex90_p1.cnx,,,,,,,,,
NS0.2FL.24.3,Child_7,Nonconverter,2FL,24,3,SR_2020-10-06-B-64_ex100_p1.cnx,,,,,,,,,
NS0.2FL.36.1,Child_7,Nonconverter,2FL,36,1,SR_2020-10-06-B-64_ex170_p1.cnx,,,,,,,,,
NS0.2FL.36.2,Child_7,Nonconverter,2FL,36,2,SR_2020-10-06-B-64_ex180_p1.cnx,,,,,,,,,
NS0.2FL.36.3,Child_7,Nonconverter,2FL,36,3,SR_2020-10-06-B-64_ex190_p1.cnx,,,,,,,,,
NS0.2FL.48.1,Child_7,Nonconverter,2FL,48,1,SR_2020-10-07_ex40_p1.cnx,,,,,,,,,
NS0.2FL.48.2,Child_7,Nonconverter,2FL,48,2,SR_2020-10-07_ex50_p1.cnx,,,,,,,,,
NS0.2FL.48.3,Child_7,Nonconverter,2FL,48,3,SR_2020-10-07_ex60_p1.cnx,,,,,,,,,
NS0.2FL.60.1,Child_7,Nonconverter,2FL,60,1,SR_2020-10-07_ex130_p1.cnx,,,,,,,,,
NS0.2FL.60.2,Child_7,Nonconverter,2FL,60,2,SR_2020-10-07_ex140_p1.cnx,,,,,,,,,
NS0.2FL.60.3,Child_7,Nonconverter,2FL,60,3,SR_2020-10-07_ex150_p1.cnx,,,,,,,,,
NS0.Con.0.1,Child_7,Nonconverter,No Treatment,0,1,SR_2020-10-05_ex160_p1.cnx,,,,,,,,,
NS0.Con.0.2,Child_7,Nonconverter,No Treatment,0,2,SR_2020-10-05_ex170_p1.cnx,,,,,,,,,
NS0.Con.0.3,Child_7,Nonconverter,No Treatment,0,3,SR_2020-10-05_ex180_p1.cnx,,,,,,,,,
NS0.Con.12.1,Child_7,Nonconverter,No Treatment,12,1,SR_2020-10-06-A_ex50_p1.cnx,,,,,,,,,
NS0.Con.12.2,Child_7,Nonconverter,No Treatment,12,2,SR_2020-10-06-A_ex60_p1.cnx,,,,,,,,,
NS0.Con.12.3,Child_7,Nonconverter,No Treatment,12,3,SR_2020-10-06-A_ex72_p1.cnx,,,,,,,,,
NS0.Con.24.1,Child_7,Nonconverter,No Treatment,24,1,SR_2020-10-06-B-64_ex50_p1.cnx,,,,,,,,,
NS0.Con.24.2,Child_7,Nonconverter,No Treatment,24,2,SR_2020-10-06-B-64_ex60_p1.cnx,,,,,,,,,
NS0.Con.24.3,Child_7,Nonconverter,No Treatment,24,3,SR_2020-10-06-B-64_ex70_p1.cnx,,,,,,,,,
NS0.Con.36.1,Child_7,Nonconverter,No Treatment,36,1,SR_2020-10-06-B-64_ex140_p1.cnx,,,,,,,,,
NS0.Con.36.2,Child_7,Nonconverter,No Treatment,36,2,SR_2020-10-06-B-64_ex150_p1.cnx,,,,,,,,,
NS0.Con.36.3,Child_7,Nonconverter,No Treatment,36,3,SR_2020-10-06-B-64_ex160_p1.cnx,,,,,,,,,
NS0.Con.48.1,Child_7,Nonconverter,No Treatment,48,1,SR_2020-10-07_ex10_p1.cnx,,,,,,,,,
NS0.Con.48.2,Child_7,Nonconverter,No Treatment,48,2,SR_2020-10-07_ex20_p1.cnx,,,,,,,,,
NS0.Con.48.3,Child_7,Nonconverter,No Treatment,48,3,SR_2020-10-07_ex30_p1.cnx,,,,,,,,,
NS0.Con.60.1,Child_7,Nonconverter,No Treatment,60,1,SR_2020-10-07_ex100_p1.cnx,,,,,,,,,
NS0.Con.60.2,Child_7,Nonconverter,No Treatment,60,2,SR_2020-10-07_ex110_p1.cnx,,,,,,,,,
NS0.Con.60.3,Child_7,Nonconverter,No Treatment,60,3,SR_2020-10-07_ex120_p1.cnx,,,,,,,,,
