Plate,Strain,time,2'FL,3FL,3'SL,DFLac,6'SL,LNT,LNnT,LNFP I,LNFP II,LNFP III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
HMO_assay-2020-11-07,NS1 1 CNA AN,0,2230.15905,420.4291517,405.6819014,116.4305341,258.595201,2310.798149,235.372547,1091.108767,1662.676892,55.10982197,136.8437852,210.1816376,1055.845095,188.6645688,216.823392,585.3742557,202.2616447,339.2286836,197.6474102,11919.23249,2518.701497,9133.161169
HMO_assay-2020-11-07,NS1 1 CNA AN,48,2191.853026,430.767043,406.2098868,109.0922021,267.8157501,2274.299211,204.1732526,1092.731529,1664.349985,61.34654781,143.2088204,202.3981999,1045.053052,177.4283431,211.5377795,586.2012486,199.989275,340.787006,200.829291,11810.07145,2525.94081,9076.305444
HMO_assay-2020-11-07,NS1 12 EtOH AN,0,2246.275968,427.4899108,322.386155,130.6006082,302.7689674,2269.518918,259.1283891,1123.497754,1651.773484,29.03347232,185.6440454,198.9166982,1052.438324,181.3422234,154.9482453,607.4106127,204.7722435,340.3003898,175.4722692,11863.71868,2351.157674,9201.403944
HMO_assay-2020-11-07,NS1 12 EtOH AN,48,2177.316827,421.7091172,312.6536406,65.00177248,251.595306,2264.705587,240.139749,1102.146574,1644.135382,11.83904139,316.16195,180.8469172,1028.814872,187.2016868,26.17526434,615.7717644,228.3318604,331.7946187,172.9909758,11579.33291,2123.179531,8949.010334
HMO_assay-2020-11-07,NS1 14 FAA AN,0,2285.033905,446.9060373,416.5664026,105.5701535,306.55425,2324.792553,244.6291904,1163.912662,1701.469451,46.20600902,139.8896007,212.5216072,1086.160476,175.8201744,222.8650538,601.7063574,208.0399114,347.478469,202.701645,12238.82391,2621.622196,9392.253973
HMO_assay-2020-11-07,NS1 14 FAA AN,48,2204.196369,424.0640346,406.7984834,109.6490059,263.8053339,717.8198925,220.8669766,1054.008748,1657.978238,45.73836667,135.9679616,210.0713736,1061.781261,184.1303188,205.9424774,587.7488405,203.3194098,346.2949108,195.3536953,10235.5357,2511.82532,9069.528862
HMO_assay-2020-11-07,NS1 19 TSA AN,0,2172.84822,404.5710466,395.3235263,102.2185537,287.405449,2230.083369,221.3633514,1070.515954,1612.289439,46.000243,143.2245633,200.7926447,1032.968862,174.9350284,200.6454632,583.2740598,197.8254453,332.9096326,191.4723112,11600.66716,2476.800997,8888.434318
HMO_assay-2020-11-07,NS1 19 TSA AN,48,1480.144525,400.7086525,379.7677042,104.4701043,238.3199744,2170.498863,198.2770341,1047.679414,1562.244286,80.06303813,187.7902245,191.9526953,1034.219169,163.0113963,152.9453205,582.5263153,201.4660056,327.3115407,181.9870284,10685.38329,2322.318378,8160.988329
HMO_assay-2020-11-10,NS1 23 EtOH AN,0,2361.841022,417.0056582,369.5785502,101.766237,262.5847204,2303.310637,235.3661504,1118.121639,1628.649998,37.94281467,188.1648003,188.5245201,1041.585233,185.8621399,141.6226857,611.7342438,210.5125249,342.907906,179.1143543,11926.19583,2336.142483,9225.931272
HMO_assay-2020-11-10,NS1 23 EtOH AN,48,2286.289475,412.7468113,331.9976881,52.71925513,255.4962183,2263.25114,234.3964029,1088.178101,1601.015438,14.59204709,307.2885301,186.3541227,1004.200335,176.6092417,25.32493164,607.4690063,225.7792203,324.0250529,167.3287137,11565.06173,2114.493956,8899.713552
HMO_assay-2020-11-03,NS1 27 GC AN,0,2149.778777,381.4277489,415.2985928,117.7675689,286.3084057,2264.028098,218.8155723,1182.501722,1683.788831,59.29297561,140.9471407,217.353512,1148.913406,175.9287113,220.6825574,571.5876748,201.4836957,334.9838684,208.5620117,11979.45087,2588.364526,9299.690939
HMO_assay-2020-11-03,NS1 27 GC AN,48,1960.975213,402.8116944,405.965317,114.0530088,276.9776255,1514.241164,74.10305248,1125.257657,1730.381027,93.93403292,135.156113,209.5517281,1207.577801,87.76836749,226.760347,454.4563431,178.8544847,327.0647724,201.9242466,10727.81399,2539.149516,9095.851328
HMO_assay-2020-11-07,NS1 32 TSA AN,0,2166.263667,413.7003143,363.2334689,98.39293448,277.145679,2257.426451,255.0246477,1111.095764,1634.072699,37.00342723,181.1649504,182.40373,1032.655094,158.2741932,134.7110148,603.2450951,199.8792899,328.9445263,164.3325684,11598.96952,2259.924047,8956.18013
HMO_assay-2020-11-07,NS1 32 TSA AN,48,36.12388059,392.6726948,253.3535679,101.2545264,246.6039172,2889.626799,166.8290467,729.6903644,1035.186064,178.5819731,231.1114554,149.5856475,913.3367799,255.6537974,77.64868009,527.1177959,149.0162664,177.3253307,103.4187207,8614.137308,1597.440051,5403.913249
HMO_assay-2020-11-07,NS1 36 MRS AN,0,2183.941649,413.8879305,363.6499153,101.6343551,255.5088356,2235.32879,257.1772036,1096.790605,1633.063014,39.97198375,170.0223555,190.0922948,1029.757063,184.7490737,152.2000095,609.2414265,196.4082477,330.819893,174.8746144,11619.11926,2295.062435,8963.315833
HMO_assay-2020-11-07,NS1 36 MRS AN,48,2214.28533,437.0683147,357.456092,119.1635864,242.4981164,78.51162581,298.6920459,1076.669262,1699.241271,62.42532754,168.9306957,180.0279288,1048.234579,177.3091962,143.7013401,602.1782754,199.3571904,339.6828524,167.5563936,9612.989424,2250.794005,9165.061345
HMO_assay-2020-11-10,NS1 40 EtOH AN,0,2225.82939,407.4249919,361.9594745,112.3464666,243.4900953,2202.190722,214.5598015,1064.937709,1550.489589,43.10108271,177.0251583,175.5486003,983.5703804,163.1795023,135.6321597,570.896224,191.5829329,318.8261757,160.3365954,11302.92705,2187.61319,8756.504723
HMO_assay-2020-11-10,NS1 40 EtOH AN,48,2446.081793,431.5836535,391.045518,126.1477163,267.4757166,2380.170653,238.1969366,1136.514371,1658.596968,42.42512355,175.9880819,190.3069277,1048.018008,173.1237035,156.2561489,597.546191,202.0568572,328.8546014,171.3923142,12161.78128,2337.822373,9394.047865
HMO_assay-2020-11-05,NS1 41 FAA AN,0,2286.919138,431.30077,436.0278847,145.0428413,276.3250864,2156.846341,216.9830807,1059.904707,1569.619225,29.78665698,136.3882081,187.0698995,1055.111162,153.8279318,200.9492547,544.1677395,186.6348974,317.1662338,181.5962629,11571.66732,2435.234581,9012.442272
HMO_assay-2020-11-05,NS1 41 FAA AN,48,184.1451748,604.9506824,286.5363483,91.76929589,184.1327815,1715.361362,131.1658322,471.1417683,1327.185484,185.8189081,271.9767839,109.2328226,1032.985575,110.4124034,32.98346597,399.8663901,124.1477428,242.0671318,99.62990998,7605.509864,1601.239752,5912.980768
HMO_assay-2020-11-10,NS1 43 CNA AN,0,2283.969604,429.2418559,368.4118457,114.9694915,277.4176503,2203.406913,237.4556645,1093.238259,1591.442314,39.57034347,172.8205476,172.0212825,1002.028476,168.0115803,156.7316856,580.0766154,189.9815556,314.8405226,159.4334627,11555.06967,2252.682668,8946.33856
HMO_assay-2020-11-10,NS1 43 CNA AN,48,2278.27925,436.0233537,355.0374314,120.9175633,251.7372411,2271.070751,239.76855,1096.934037,1612.857397,46.30151635,164.800178,189.8025017,1024.40968,170.2919751,157.675725,596.7190876,192.6418558,326.1021946,172.2140845,11703.58437,2273.361361,9069.155033
HMO_assay-2020-11-07,NS1 FAA 3 AER,0,2275.057776,428.2482117,369.7143717,122.9573012,276.7136843,2332.808237,259.3261223,1150.197945,1708.254787,57.0475113,180.9231593,186.8764155,1071.617273,184.877212,159.2779654,616.0101826,208.3718326,350.0212306,178.1161132,12116.41733,2389.058249,9390.730458
