"","Comparison","Treatment.diff","Treatment.lwr","Treatment.upr","Treatment.p.adj","Metabolite","BH"
"1","No Treatment-2'FL",-0.174264493003508,-0.813935095694045,0.46540610968703,0.790430053323699,"Acetate",0.966081176284522
"2","pHMOs-2'FL",1.01633480944025,0.37666420674971,1.65600541213079,0.000924103481927063,"Acetate",0.00160502183703122
"3","pHMOs-No Treatment",1.19059930244376,0.550928699753218,1.83026990513429,0.000102551442724863,"Acetate",0.000193382720566885
"4","No Treatment-2'FL",-0.0788791565025024,-0.431045958612146,0.273287645607141,0.852808339893901,"Alanine",0.999238735633637
"5","pHMOs-2'FL",1.820017110689,1.46785030857936,2.17218391279865,1.98919769545114e-11,"Alanine",1.19367848938623e-10
"6","pHMOs-No Treatment",1.89889626719151,1.54672946508186,2.25106306930115,1.9890200597672e-11,"Alanine",1.19367848938623e-10
"7","No Treatment-2'FL",-0.273621409088498,-0.867431428896393,0.320188610719397,0.513309759780123,"Ethanol",0.677568882909762
"8","pHMOs-2'FL",1.13795223366903,0.544142213861132,1.73176225347692,6.44620844482136e-05,"Ethanol",0.000128924168896427
"9","pHMOs-No Treatment",1.41157364275753,0.817763622949631,2.00538366256542,1.09734526754224e-06,"Ethanol",2.89699150631151e-06
"10","No Treatment-2'FL",0.196127051318056,-0.379781108984469,0.772035211620581,0.693148533975073,"Glycolate",0.863166098912355
"11","pHMOs-2'FL",-1.24933391003539,-1.82524207033792,-0.673425749732866,7.14393729850382e-06,"Glycolate",1.47343706781641e-05
"12","pHMOs-No Treatment",-1.44546096135345,-2.02136912165597,-0.869552801050922,3.24163125342558e-07,"Glycolate",1.01879839393375e-06
"13","No Treatment-2'FL",-0.215131110932478,-0.536540824138014,0.106278602273058,0.249933522370141,"Histidine",0.350970478221899
"14","pHMOs-2'FL",1.78688823330076,1.46547852009522,2.10829794650629,1.98890903746474e-11,"Histidine",1.19367848938623e-10
"15","pHMOs-No Treatment",2.00201934423324,1.6806096310277,2.32342905743877,1.98884242408326e-11,"Histidine",1.19367848938623e-10
"16","No Treatment-2'FL",0.146734479801502,-0.562687173002646,0.856156132605651,0.872980084765625,"Indole",0.999238735633637
"17","pHMOs-2'FL",-0.62739873562597,-1.33682038843012,0.0820229171781784,0.0932315704164234,"Indole",0.136739636610754
"18","pHMOs-No Treatment",-0.774133215427472,-1.48355486823162,-0.0647115626233239,0.0293286046843394,"Indole",0.0439929070265091
"19","No Treatment-2'FL",-0.0416172698084795,-0.572539299903079,0.48930476028612,0.98063278673882,"Isoleucine",0.999238735633637
"20","pHMOs-2'FL",1.47284116047053,0.941919130375927,2.00376319056513,2.76088923945039e-08,"Isoleucine",9.59045735809084e-08
"21","pHMOs-No Treatment",1.51445843027901,0.983536400184407,2.0453804603736,1.32206958713965e-08,"Isoleucine",4.84758848617872e-08
"22","No Treatment-2'FL",0.0107010973130151,-0.681245742683088,0.702647937309118,0.999238735633637,"Lactate",0.999238735633637
"23","pHMOs-2'FL",0.840779270829524,0.148832430833421,1.53272611082563,0.0134556285197184,"Lactate",0.0222017870575353
"24","pHMOs-No Treatment",0.830078173516509,0.138131333520406,1.52202501351261,0.014878938484388,"Lactate",0.0233811890468955
"25","No Treatment-2'FL",-0.0196672307556303,-0.587334188012201,0.547999726500941,0.996185550590352,"Leucine",0.999238735633637
"26","pHMOs-2'FL",1.37489399613071,0.807227038874141,1.94256095338728,7.2794553040989e-07,"Leucine",2.0018502086272e-06
"27","pHMOs-No Treatment",1.39456122688634,0.826894269629772,1.96222818414291,5.29550273520307e-07,"Leucine",1.58865082056092e-06
"28","No Treatment-2'FL",-0.043792272740225,-0.359852625476692,0.272268079996242,0.940773688760017,"Malonate",0.999238735633637
"29","pHMOs-2'FL",1.88828649608363,1.57222614334716,2.2043468488201,1.98884242408326e-11,"Malonate",1.19367848938623e-10
"30","pHMOs-No Treatment",1.93207876882385,1.61601841608739,2.24813912156032,1.98884242408326e-11,"Malonate",1.19367848938623e-10
"31","No Treatment-2'FL",-0.0339331416811737,-0.617118350268922,0.549252066906574,0.989279949939817,"Methionine",0.999238735633637
"32","pHMOs-2'FL",1.31635454062447,0.733169332036723,1.89953974921222,3.25581001681119e-06,"Methionine",7.40977452101857e-06
"33","pHMOs-No Treatment",1.35028768230564,0.767102473717897,1.93347289089339,1.92492427442126e-06,"Methionine",4.88634623506935e-06
"34","No Treatment-2'FL",0.364399845808867,-0.219313086579265,0.948112778196999,0.298046034271453,"Methylamine",0.409813297123248
"35","pHMOs-2'FL",-1.11171671905177,-1.6954296514399,-0.528003786663639,7.12357614005565e-05,"Methylamine",0.000138281183895198
"36","pHMOs-No Treatment",-1.47611656486064,-2.05982949724877,-0.892403632472506,2.72030015402436e-07,"Methylamine",8.97699050828038e-07
"37","No Treatment-2'FL",-0.112207289779683,-0.380481459106378,0.156066879547012,0.57651399290966,"Phenylalanine",0.73172929869303
