"row","column","cor","p"
"Log2AUCf","Log2ODf",0.928339133670166,"0.000000e+00"
"2'FL","3'SL",0.470248333234162,"0.000000e+00"
"2'FL","3-FL",0.40744181390744,"1.243450e-14"
"2'FL","6'SL",0.385357423418793,"3.987921e-13"
"2'FL","DFLac",0.447114002999347,"0.000000e+00"
"3'SL","DFLac",0.308657466356512,"1.027175e-08"
"6'SL","DFLac",0.432967217826449,"0.000000e+00"
"2'FL","DFLNH",0.674105687453255,"0.000000e+00"
"3'SL","DFLNH",0.431833228833742,"2.220446e-16"
"3-FL","DFLNH",0.326227455343074,"1.274274e-09"
"6'SL","DFLNH",0.341701401150609,"1.809279e-10"
"DFLac","DFLNH",0.43331681569712,"0.000000e+00"
"2'FL","DFLNT",0.646722370023804,"0.000000e+00"
"3'SL","DFLNT",0.400826038362353,"3.641532e-14"
"3-FL","DFLNT",0.492091863633056,"0.000000e+00"
"6'SL","DFLNT",0.342424821007179,"1.647060e-10"
"DFLac","DFLNT",0.482500718299743,"0.000000e+00"
"DFLNH","DFLNT",0.590102280310488,"0.000000e+00"
"2'FL","DSLNH",0.538934763326914,"0.000000e+00"
"3'SL","DSLNH",0.482067847044219,"0.000000e+00"
"6'SL","DSLNH",0.360409355219826,"1.473088e-11"
"DFLac","DSLNH",0.408709890294977,"1.021405e-14"
"DFLNH","DSLNH",0.64777593212087,"0.000000e+00"
"DFLNT","DSLNH",0.550341563249234,"0.000000e+00"
"2'FL","DSLNT",0.444086935940647,"0.000000e+00"
"3'SL","DSLNT",0.53741124853341,"0.000000e+00"
"6'SL","DSLNT",0.418366238879585,"1.998401e-15"
"DFLac","DSLNT",0.475028475911938,"0.000000e+00"
"DFLNH","DSLNT",0.467396927620347,"0.000000e+00"
"DFLNT","DSLNT",0.429118264311798,"4.440892e-16"
"DSLNH","DSLNT",0.645783221543205,"0.000000e+00"
"2'FL","FDSLNH",0.457893522464746,"0.000000e+00"
"DFLac","FDSLNH",0.326505781691093,"1.231485e-09"
"DFLNH","FDSLNH",0.466524874950561,"0.000000e+00"
"DFLNT","FDSLNH",0.470240725531964,"0.000000e+00"
"DSLNH","FDSLNH",0.475301137248434,"0.000000e+00"
"DSLNT","FDSLNH",0.347256602741772,"8.740209e-11"
"2'FL","FLNH",0.621231819418521,"0.000000e+00"
"3'SL","FLNH",0.345159419391322,"1.152243e-10"
"3-FL","FLNH",0.361695872352726,"1.232126e-11"
"6'SL","FLNH",0.366344242855032,"6.419310e-12"
"DFLac","FLNH",0.417479539246892,"2.220446e-15"
"DFLNH","FLNH",0.648366423267892,"0.000000e+00"
"DFLNT","FLNH",0.626039373884305,"0.000000e+00"
"DSLNH","FLNH",0.415574410506292,"3.330669e-15"
"DSLNT","FLNH",0.354775808178003,"3.190204e-11"
"FDSLNH","FLNH",0.449527428583402,"0.000000e+00"
"2'FL","Fuc",0.893867055461151,"0.000000e+00"
"3'SL","Fuc",0.486930741764101,"0.000000e+00"
"3-FL","Fuc",0.47777150800031,"0.000000e+00"
"6'SL","Fuc",0.392773663273603,"1.283418e-13"
"DFLac","Fuc",0.507089732562397,"0.000000e+00"
"DFLNH","Fuc",0.695571023658959,"0.000000e+00"
"DFLNT","Fuc",0.770695935194978,"0.000000e+00"
"DSLNH","Fuc",0.609649445906909,"0.000000e+00"
"DSLNT","Fuc",0.491796454134352,"0.000000e+00"
"FDSLNH","Fuc",0.501841323358501,"0.000000e+00"
"FLNH","Fuc",0.697663317008352,"0.000000e+00"
"2'FL","LNFP1",0.753200280564973,"0.000000e+00"
"3'SL","LNFP1",0.466390284017748,"0.000000e+00"
"3-FL","LNFP1",0.39591574326119,"7.860379e-14"
"6'SL","LNFP1",0.393977467339677,"1.065814e-13"
"DFLac","LNFP1",0.477793978015554,"0.000000e+00"
"DFLNH","LNFP1",0.60256800105326,"0.000000e+00"
"DFLNT","LNFP1",0.726105831015841,"0.000000e+00"
"DSLNH","LNFP1",0.532997747701596,"0.000000e+00"
"DSLNT","LNFP1",0.420053398783507,"1.554312e-15"
"FDSLNH","LNFP1",0.419842587351403,"1.554312e-15"
"FLNH","LNFP1",0.702807658411351,"0.000000e+00"
"Fuc","LNFP1",0.841235236344326,"0.000000e+00"
"2'FL","LNFP2",0.735745415128164,"0.000000e+00"
"3'SL","LNFP2",0.416417900196158,"2.886580e-15"
"3-FL","LNFP2",0.514346640565962,"0.000000e+00"
"6'SL","LNFP2",0.385939102408618,"3.652634e-13"
"DFLac","LNFP2",0.478759502562063,"0.000000e+00"
"DFLNH","LNFP2",0.668879983001732,"0.000000e+00"
"DFLNT","LNFP2",0.811584460473647,"0.000000e+00"
"DSLNH","LNFP2",0.600640565654111,"0.000000e+00"
"DSLNT","LNFP2",0.473084548744009,"0.000000e+00"
"FDSLNH","LNFP2",0.494736118762844,"0.000000e+00"
"FLNH","LNFP2",0.663029783943737,"0.000000e+00"
"Fuc","LNFP2",0.838299759773529,"0.000000e+00"
"LNFP1","LNFP2",0.726245117584468,"0.000000e+00"
"DSLNT","LNFP3",0.457106294827238,"0.000000e+00"
"2'FL","LNH",0.39289312551786,"1.261213e-13"
"6'SL","LNH",0.32146101077694,"2.274946e-09"
"DFLNH","LNH",0.375560161886993,"1.707745e-12"
"DFLNT","LNH",0.309680312311859,"9.130202e-09"
"DSLNT","LNH",0.31386776354406,"5.610116e-09"
